epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,31804.3,0.89533,0.90921,0.98855,0.83112,0.6628,0.72697,0.58166,0.8343,0.77128,0.9664,0.008713,0.008713,0.008713
67,32255.4,0.87428,0.8876,0.98604,0.76802,0.69292,0.75368,0.5991,0.81893,0.72247,0.95941,0.0086932,0.0086932,0.0086932
68,32728.9,0.88663,0.88657,0.99254,0.84494,0.67852,0.75623,0.605,0.82497,0.74302,0.96396,0.0086734,0.0086734,0.0086734
69,33193.6,0.89041,0.88745,0.9888,0.87421,0.66571,0.7536,0.60268,0.81711,0.74242,0.95973,0.0086536,0.0086536,0.0086536
70,33691.2,0.88572,0.88403,0.98703,0.81293,0.70423,0.75508,0.60044,0.82713,0.73855,0.96424,0.0086338,0.0086338,0.0086338
71,34156.6,0.88053,0.87278,0.98847,0.7975,0.72696,0.77271,0.61277,0.81216,0.72547,0.96136,0.008614,0.008614,0.008614
72,34658.6,0.88596,0.87917,0.99027,0.86418,0.68919,0.77643,0.62058,0.81714,0.7184,0.96278,0.0085942,0.0085942,0.0085942
73,35150.9,0.87232,0.8699,0.99202,0.8322,0.69892,0.78027,0.6184,0.81973,0.73611,0.96028,0.0085744,0.0085744,0.0085744
74,35629.6,0.87974,0.86013,0.98636,0.85755,0.70393,0.78233,0.61962,0.81961,0.70612,0.96132,0.0085546,0.0085546,0.0085546
75,36092.2,0.8684,0.85233,0.98086,0.83166,0.71663,0.79075,0.63342,0.80819,0.71892,0.95807,0.0085348,0.0085348,0.0085348
76,36600.7,0.8679,0.8518,0.98182,0.89189,0.68515,0.77871,0.62025,0.81483,0.713,0.95848,0.008515,0.008515,0.008515
77,37089,0.87532,0.84223,0.98664,0.84004,0.72048,0.7709,0.61531,0.80971,0.70723,0.95545,0.0084952,0.0084952,0.0084952
78,37594,0.87473,0.83905,0.98322,0.89923,0.66457,0.77763,0.62106,0.81163,0.7148,0.95638,0.0084754,0.0084754,0.0084754
79,38062,0.86369,0.82498,0.97767,0.82124,0.70448,0.77795,0.61398,0.80621,0.71507,0.95491,0.0084556,0.0084556,0.0084556
80,38566.7,0.85632,0.8166,0.97354,0.84396,0.73811,0.7882,0.63237,0.80513,0.69721,0.95504,0.0084358,0.0084358,0.0084358
81,39058.2,0.85782,0.81946,0.97708,0.75842,0.74028,0.77124,0.61685,0.79684,0.69644,0.96165,0.008416,0.008416,0.008416
82,39546.6,0.85235,0.80627,0.97891,0.76793,0.76118,0.77808,0.62628,0.78841,0.69151,0.95724,0.0083962,0.0083962,0.0083962
